"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"807","ANJUMAN ISLAM JANJIRA DEGREE COLLEGE OF SCIENCE, MURUD JANJIRA,Lokmanya Tilak Road, Bazar Peth, Murud Janjira,Murud Janjira, 402401 (First Cycle)","Maharashtra","2.35","B","2024-02-07"
"808","ATHARVA INSTITUTE OF MANAGEMENT STUDIES, AET Campus, Malad Marve Road,Charkop Naka, Malad West, Mumbai-400095,Mumbai-400095 (First Cycle)","Maharashtra","2.51","B+","2024-02-07"
"809","BHARAT COLLEGE OF ENGINEERING,BADLAPUR (W), OPP. GAJANAN MAHARAJ TEMPLE, KANHOR ROAD, BADLAPUR (W),Badlapur , 421503 (First Cycle)","Maharashtra","1.72","C","2024-02-07"
"810","CHHTRAPATI SHIVAJI KALA MAHAVIDYALAYA, ASEGAON PURNA,AT POST- ASEGAON PURNA, TQ.- CHANDUR BAZAR, DIST.- AMRAVATI,ASEGAON PURNA , 444806 (First Cycle)","Maharashtra","2.37","B","2024-02-07"
"811","C.H.M.E. SOCIETY'S DR. MOONJE INSTITUTE OF MANAGEMENT AND COMPUTER STUDIES,B.M. COLLEGE CAMPUS, GANGAPUR ROAD, NASHIK-422005,NASHIK , 422005 (First Cycle)","Maharashtra","2.75","B+","2024-02-07"
"812","DANG SEVA MANDAL'S ARTS COLLEGE ABHONE,Abhone, Tal.Kalwan, Dist.Nashik,Abhone , 423502 (First Cycle)","Maharashtra","1.88","C","2024-02-07"
"813","DECCAN EDUCATION SOCIETY'S CHINTAMANRAO INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH SANGLI,Deccan Education Society Campus, P.O. Willingdon College, Vishrambag, Sangli,SANGLI , 416416 (First Cycle)","Maharashtra","2.21","B","2024-02-07"
"814","DECCAN EDUCATION SOCIETY'S NAVINCHANDRA MEHTA INSTITUTE OF TECHNOLOGY AND DEVELOPMENT,DES Mumbai Campus, Kirti College Road, Off Veer Savarkar Marg, Dadar(W),Mumbai , 400028 (First Cycle)","Maharashtra","2.99","B++","2024-02-07"
"815","HINDI SEVA MANDALS SHRI SANT GADGE BABA COLLEGE OF ENGINEERING AND TECHNOLOGY BHUSAWAL,Near Z.T.C., Bhusawal,Bhusawal , 425203 (First Cycle)","Maharashtra","2.87","B++","2024-02-07"
"816","MS COLLEGE OF ARTS SCIENCE COMMERCE AND BMS, Habib Educational Complex, M.H. Mohani Road, Kausa, Mumbra,Thane , 400612 (First Cycle)","Maharashtra","1.76","C","2024-02-07"
"817","AJINTHA EDUCATION SOCIETY'S SANT DNYANESHWAR MAHAVIDYALAYA SOEGAON, DIST AURANGABAD (MS),Soegaon Tq.Soegaon Dist.Aurangabad , 431120,Aurangabad , 431120  (Second Cycle)","Maharashtra","2.42","B","2024-02-07"
"818","BAR. SHESHRAO WANKHEDE COLLEGE OF ARTS COMMERCE, KHAPERKHEDA,Khaperkheda (Bhanegaon) Tah. Saoner. Dist. Nagpur,Khaperkheda , 441102  (Second Cycle)","Maharashtra","2.13","B","2024-02-07"
"819","BHALERAO SCIENCE COLLEGE, Nagpur Road ,Saoner , Dist-Nagpur (M.S.) 441107,Saoner , 441107  (Second Cycle)","Maharashtra","2.24","B","2024-02-07"
"820","DANG SEVA MANDAL'S DADASAHEB BIDKAR ARTS, SCIENCE AND COMMERCE COLLEGE, PETH, TAL. PETH, DIST. NASHIK,Peth, Taluka Peth, District Nashik, State Maharashtra 422208,Peth Nashik , 422208  (Second Cycle)","Maharashtra","2.45","B","2024-02-07"
"821","NAVJEEVAN INSTITUTE OF MANAGEMENT,SHIVSHAKTI CHOWK 4TH SCHEME CIDCO NASHIK,NASHIK , 422008  (Second Cycle)","Maharashtra","2.86","B++","2024-02-07"
"822","SMT. SALUNKABAI RAUT ARTS AND COMMERCE COLLEGE, WANOJA, MANGRULPIR., At Post Wanoja Ta. Mangrulpir Dist Washim,Wanoja , 444402  (Second Cycle)  ","Maharashtra","2.46","B","2024-02-07"
"823","S. S. P. MANDAL'S BHAGWAN MAHAVIDYALAYA(ARTS, COMMERCE AND SCIENCE), ASHTI, TAL. ASHTI, DIST. BEED (M.S.),Ashti, Dist. Beed,Ashti , 414203  (Second Cycle)","Maharashtra","2.35","B","2024-02-07"
"824","HPT ARTS AND RYK SCIENCE COLLEGE,Vidyanagar College Road, Nashik , 422005, Nashik , 422005 (Third Cycle)","Maharashtra","3.11","A","2024-02-07"
"825","MIRAJ MAHAVIDYALAYA, Miraj 795/1/A, Near Govt. Milk Dairy, Budhagaonkar Mala, Miraj, Dist. Sangli,MIRAJ , 416410 (Third Cycle)","Maharashtra","2.53","B+","2024-02-07"
"826","PRAVARA RURAL EDUCATION SOCIETY'S PADMASHRI VIKHE PATIL COLLEGE ARTS, SCIENCE AND COMMERCE,A/p-Loni Kd, Tal-Rahata, Dist-Ahmednagar,Loni Kd , 413713 (Third Cycle)","Maharashtra","3.11","A","2024-02-07"
"827","R.N.C. ARTS, J.D.B. COMMERCE AND N.S.C SCIENCE COLLEGE, NASHIK PUNE ROAD OPP SUJATA BIRLA HOSPITAL NR ASHIRWAD BUS STOP NASHIK ROAD NASHIK,NASHIK , 422101 (Third Cycle)","Maharashtra","2.47","B","2024-02-07"
"828","SATARA MARATHA VIDYA PRASARAK SAMAJ'S ARTS AND COMMERCE COLLEGE SATARA,Satara 117, Shukrawar Peth, Satara,Satara , 415002 (Third Cycle)","Maharashtra","2.53","B+","2024-02-07"
"829","SHRI SARASWATI VIDYA PRASARAK MANDAL'S SMT.PADAMBAI KAPURCHANDJI KOTECHA MAHILA MAHAVIDYALAYA,Shanti Nagar Bhusawal Maharashtra,Bhusawal , 425201 (Third Cycle)","Maharashtra","2.53","B+","2024-02-07"
"830","ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S INSTITUTE OF MANAGEMENT,Kennedy Road, Near RTO,Pune , 411001 (First Cycle)","Maharashtra","3.27","A+","2024-03-03"
"831","ASHOKA CENTER FOR BUSINESS AND COMPUTER STUDIES,Plot No.585/2,169-172,Nandavan Estate ,Near Chandashi Village,Anadwalli, Gangapur Road,Nashik,Nashik , 422013 (First Cycle)","Maharashtra","2.55","B+","2024-03-03"
"832","DHOLE PATIL COLLEGE OF ENGINEERING, PUNE,1284, Ubale Nagar, Near Kharadi IT Park, Wagholi, Pune,Pune , 412207 (First Cycle)","Maharashtra","3.38","A+","2024-03-03"
"833","GURU NANAK INSTITUTE OF ENGINEERING AND TECHNOLOGY,Khasra No. 95, Mouza Dahegaon, Kalmeshwar Road, Nagpur,Nagpur , 441501 (First Cycle)","Maharashtra","2.46","B","2024-03-03"
"834","INSTITUTE OF MANAGEMENT AND SCIENCE, Bhusawal , 425201 , N.H.-06, Sakegaon, Jalgaon Road, Bhusawal,Bhusawal , 425201 (First Cycle)","Maharashtra","2.04","B","2024-03-03"
"835","JAYAWANTRAO SAWANT INSTITUTE OF MANAGEMENT AND RESEARCH,Sr.No.58, Indrayani Nagar,Handewadi Road, Hadapsar, Pune- 411028 State- Maharashtra,Pune , 411028 (First Cycle)","Maharashtra","2.99","B++","2024-03-03"
"836","JMF'S VANDE MATARAM DEGREE COLLEGE OF ARTS, COMMERCE AND SCIENCE,JMF Sanskriti Vihar Dr. Nemade Road, Telcoswadi. Kopar Cross Road, Near Diva-vasai Railway route, Dombivli (west).,Dombivli west , 42120 (First Cycle)","Maharashtra","2.08","B","2024-03-03"
"837","MAHARSHI KARVE STREE SHIKSHAN SAMSTHA'S DR. BHANUBEN NANAVATI COLLEGE OF ARCHITECTURE FOR WOMEN,BNCA campus, Karvenagar, Pune,PUNE , 411052 (First Cycle)","Maharashtra","2.38","B","2024-03-03"
"838","MAHATMA PHULE ARTS AND SCIENCE COLLEGE, PATUR,PATUR TQ PATUR Dist AKOLA , 444501 , MAHATMA PHULE ARTS AND SCIENCE COLLEGE, PATUR,AKOLA , 444501 (First Cycle) ","Maharashtra","1.76","C","2024-03-03"
"839","NSCT'S INSTITUTE OF MANAGEMENT SCIENCE, PIMPRI(BK),At Post - Pimpri Bk., Payeet Road, Taluka - Khed, District - Pune,Pune , 410501 (First Cycle)","Maharashtra","2.73","B+","2024-03-03"
"840","PRAVARA RURAL ENGINEERING COLLEGE, LONI,Loni Tal Rahata Dist Ahmednagar (MS),Loni , 413736 (First Cycle)","Maharashtra","2.48","B","2024-03-03"
"841","RAJARSHI SHAHU COLLEGE OF ENGINEERING,BULDANA,Near Palna Gahr, Sagwan Raod,Tq.Buldana,Dist-Buldana,Buldana , 443001 (First Cycle)","Maharashtra","1.86","C","2024-03-03"
"842","SARASWATI SANGEET KALA MAHAVIDYALAYA, LATUR,opposite Government Womens Polytechnic College, Sangeet Nagari, Barshi Road, Latur Tq. - Dist. Latur,Barshi Road,Latur , 413512 (First Cycle)","Maharashtra","1.9","C","2024-03-03"
"843","SHEILA RAHEJA SCHOOL OF BUSINESS MANAGEMENT AND RESEARCH,Raheja Education Complex, Opp. Chhatrapati Shivaji Ground, Kher Nagar, Bandra (East), Mumbai , 400051 (First Cycle)","Maharashtra","2.79","B++","2024-03-03"
"844","VIDYALANKAR INSTITUTE OF TECHNOLOGY,Vidyalankar College Marg Wadala(E),Mumbai , 400037  (First Cycle)","Maharashtra","3.41","A+","2024-03-03"
"845","ISMAILSAHEB MULLA LAW COLLEGE, SATARA, SATARA , 415001, SATARA , 415001 (Second Cycle)","Maharashtra","3.03","A","2024-03-03"
"846","JEEVAN VIKAS MAHAVIDYALAYA, THUGAONDEO,At Post- Thugaondeo (Devgram), Tah. Narkhed, Dist. Nagpur (Maharashtra), Thugaondeo , 441301 (Second Cycle)","Maharashtra","2.93","B++","2024-03-03"
"847","KALIKADEVI ARTS, COMMERCE AND SCIENCE COLLEGE, SHIRUR KASAR,Shirur kasar , 413249,Shirur kasar , 413249 (Second Cycle)","Maharashtra","2.45","B","2024-03-03"
"848","LOKNAYAK BAPUJI ANEY MAHILA MAHAVIDYALAYA, YAVATMAL,AWDHOOTWADI, DATTA CHOWK,YAVATMAL , 445001 (Second Cycle)","Maharashtra","2.37","B","2024-03-03"
"849","SINDHU NAVYUVAK MANDAL'S RAJKUMAR KEWALRAMANI KANYA MAHAVIDYALAYA, Sai Vasanshah Square, Jaripatka, Nagpur-440014,Nagpur , 440014 (Second Cycle)","Maharashtra","2.58","B+","2024-03-03"
"850","INDAPUR TALUKA SHIKSHAN PRASARAK MANDAL'S ARTS, SCIENCE AND COMMERCE COLLEGE,Off National Highway No. 65, Opposite to Indapur Municipality, Indapur, Taluka Indapur, Dist. Pune., Indapur , 413106 (Third Cycle)","Maharashtra","2.86","B++","2024-03-03"
"851","Maratha Vidya Prasarak Samaj's Karmaveer Punjababa Goverdhane Arts, Commerce and Science College, Near Take-Ghoti, Mumbai-Agra Road, Igatpuri, Tal.- Igatpuri, Dist.- Nashik,,Near Take-Ghoti, Mumbai-Agra Road, Tal.- Igatpuri Dist.-Nashik 422403,Igatpuri , 422403 (Third Cycle)","Maharashtra","2.4","B","2024-03-03"
"852","SHRI BHAIYYAJI PANDHAIPANDE NATIONAL INSTITUTE OF SOCIAL WORK,Krida square, Hanuman Nagar, Nagpur,Nagpur , 440009 (Third Cycle) ","Maharashtra","3.16","A","2024-03-03"
"853","S M JOSHI COLLEGE HADAPSAR PUNE (MS),Malwadi Road Hadapsar Pune -28,Hadapsar Pune , 411028 (Third Cycle)","Maharashtra","3.03","A","2024-03-03"
"854","DEGREE COLLEGE OF PHYSICAL EDUCATION,AMRAVATI,Near Ekvira Devi Temple, Hanuman Vyayam Nagar,AMRAVATI , 444605 (Third Cycle) ","Maharashtra","3.02","A","2024-03-27"
"855","ASIAN COLLEGE OF SCIENCE AND COMMERCE,Sr. No. 28/15/16, Narhe Dhayri Road, Pari Company Chowk, Tal- Haveli Dist.Pune,Pune , 411041 (First Cycle)","Maharashtra","2.52","B+","2024-03-27"
"856","ATHARVA COLLEGE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,S No.263, Plot No.8-12, Malad Marve Road, Charkop Naka, Malad West, Mumbai-400095.,Mumbai , 400095 (First Cycle)","Maharashtra","1.93","C","2024-03-27"
"857","GRAMODAYA TRUST'S RAJEEV BUSINESS SCHOOL,Near Dange Chowk, Tathawade Road, Tathawade, Pune 411033. M.S., Pune, Pune, Maharashtra, 411033,Pune , 411033 (First Cycle)","Maharashtra","1.98","C","2024-03-27"
"858","HOLY-WOOD ACADEMY KOLHAPUR'S, SANJEEVAN ENGINEERING AND TECHNOLOGY INSTITUTE, PANHALA,Sanjeevan Knowledge City, Somwar Peth-Injole, Panhala Dist. Kolhapur,Panhala , 416201 (First Cycle)","Maharashtra","2.66","B+","2024-03-27"
"859","HUTATMA JAYWANTRAO PATIL MAHAVIDYALAYA HIMAYATNAGAR,HUTATMA JAYWANTRAO PATIL MAHAVIDYALAYA HIMAYATNAGAR Tq.Himayatnagar Dist.Nanded.,Himayatnagar , 431802 (First Cycle)","Maharashtra","2.48","B","2024-03-27"
"860","INTERNATIONAL CENTRE OF EXCELLENCE IN ENGINEERING AND MANAGEMENT,Gut No. 4, Opp. M.I.D.C Waluj Water Treatment Plant, Aurangabad - Pune National Highway, Waluj, Aurangabad,Aurangabad , 431136 (First Cycle)","Maharashtra","2.26","B","2024-03-27"
"861","ISBM SCHOOL OF TECHNOLOGY,S. No. 44/1/2, nande village, near Susgaon, Pashan-Sus Road, taluka Mulshi, Pune 412115,Pune , 412115 (First Cycle)","Maharashtra","2.82","B++","2024-03-27"
"862","JALNA COLLEGE OF SOCIAL WORK,NEAR JALNA CO-OPERATIVE SUGAR MILL RAMNAGAR, JALNA - NANDED HIGHWAY,JALNA , 431214 (First Cycle) ","Maharashtra","2.23","B","2024-03-27"
"863","KONKAN GYANPEETH COLLEGE OF ENGINEERING, KARJAT, Vengaon Road, Dahivali, Taluka-Karjat, District-Raigad, Raigad , 410201 (First Cycle) ","Maharashtra","2.7","B+","2024-03-27"
"864","MCT'S RAJIV GANDHI INSTITUTE OF TECHNOLOGY, MUMBAI, Juhu Versova Link Road, Behind HDFC Bank Versova, Andheri West, Mumbai,Mumbai , 400053 (First Cycle)","Maharashtra","2.49","B","2024-03-27"
"865","MUMBAI INSTITUTE OF MANAGEMENT & RESEARCH,J.K.KNOWLEDGE CENTRE, NEAR MBPT COLONY, NADKARNI PARK, WADALA EAST,Mumbai , 400037 (First Cycle)","Maharashtra","1.72","C","2024-03-27"
"866","NANASAHEB MAHADIK COLLEGE OF ENGINEERING,Gat No. 894/2665 Pune-Bangalore (NH4) Highway, At Post- Peth Naka, Tal- Walwa, Dist- Sangli Pin-415407,Peth Naka Islampur , 415407 (First Cycle)","Maharashtra","2.46","B","2024-03-27"
"867","PADMABHUSHAN VASANTDADA PATIL PRATISHTHAN'S COLLEGE OF ENGINEERING,Patil Educational Complex, Eastern Express Highway, Near Everard Nagar, Sion Chunabhatti,Mumbai , 400022 (First Cycle) ","Maharashtra","2.73","B+","2024-03-27"
"868","PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,Rasayani, Tal. Khalapur, Dist Raigad,Rasayani Tal Khalapur Dist Raigad , 410207 (First Cycle)","Maharashtra","3.03","A","2024-03-27"
"869","PRIYADARSHINI COLLEGE OF ENGINEERING,Near CRPF Campus Hingna Road, Nagpur,Nagpur , 440019 (First Cycle)","Maharashtra","3.31","A+","2024-03-27"
"870","PRIYADARSHINI INDIRA GANDHI COLLEGE OF ENGINEERING,NAGPUR, Opposite Lata Mangeshkar Hospital,Digdoh Hills,Hingna Road,Nagpur-440019,Nagpur , 440019 (First Cycle)","Maharashtra","2.88","B++","2024-03-27"
"871","PRIYADARSHINI LOKMANYA TILAK INSTITUTE OF MANAGEMENT STUDIES RESEARCH,Priyadarshini Campus, Digdoh Hills, Hingna Road, Nagpur,Nagpur , 440019 (First Cycle)","Maharashtra","2.05","B","2024-03-27"
"872","RAJARSHI SHAHU INSTITUTE OF MANAGEMENT, AURANGABAD, MAHARASHTRA,PLOT NO. P-75, BEHIND GARWARE POLYESTER, CHIKALTHANA M.I.D.C. AURANGABAD.,Aurangabad , 431210 (First Cycle)","Maharashtra","1.95","C","2024-03-27"
"873","SANJIVANI RURAL EDUCATION SOCIETY, SANJIVANI ARTS, COMMERCE AND SCIENCE COLLEGE,At Sahajanandnagar Post Shingnapur Tal Kopargaon Dist Ahmednagar (M.S.) 423603,Kopargaon , 423603 (First Cycle)","Maharashtra","2.17","B","2024-03-27"
"874","SHRI PANDITGURU PARDIKAR MAHAVIDYALAYA, SIRSALA.,Sirsala Tq Parli V Dist Beed , 431128 , Survey No. 349 Moha Road,Dist Beed , 431128 (First Cycle)","Maharashtra","2.41","B","2024-03-27"
"875","SHRI RENUKADEVI ARTS, COMMERCE AND SCIENCE MAHAVIDYALAYA, MAHUR DIST. NANDED.,Mahur.Tq. Mahur Dist. Nanded.,Mahur , 431721 (First Cycle)","Maharashtra","1.98","C","2024-03-27"
"876","ST. VINCENT PALLOTTI COLLEGE OF ENGINEERING AND TECHNOLOGY, NAGPUR, Gavsi Manapur, Wardha Road, Nagpur,Nagpur , 441108 (First Cycle) ","Maharashtra","3.19","A","2024-03-27"
"877","THEEM COLLEGE OF ENGINEERING, Boisar Chilhar Road, Boisar, Palghar-401501,Boisar Palghar , 401501 (First Cycle)","Maharashtra","2.61","B+","2024-03-27"
"878","VIDYAVARDHINI'S COLLEGE OF ENGINEERING AND TECHNOLOGY,Vasai Virar Municipal Corporation Vidyvardhinis Campus K.T. Marg Vasai Road West,401202 (First Cycle)","Maharashtra","2.69","B+","2024-03-27"
"879","YASHWANTRAO CHAWHAN ARTS, COMMERCE AND SCIENCE COLLEGE, LAKHANDUR,Lakhandur, Dist. Bhandara, Maharashtra,Lakhandur , 441803 (First Cycle) ","Maharashtra","2.02","B","2024-03-27"
"880","F.E.S.GIRLS' COLLEGE,Anchaleshwar Gate Chandrapur,Chandrapur , 442401 (Second Cycle) ","Maharashtra","1.87","C","2024-03-27"
"881","G.H.RAISONI INSTITUTE OF ENGINEERING & TECHNOLOGY, Gat. no. 1200, Domkhel Road, Wagholi, Pune,Pune , 412207 (Second Cycle)","Maharashtra","3.34","A+","2024-03-27"
"882","JAWAHARLAL NEHRU ARTS, COMMERCE AND SCIENCE COLLEGE WADI NAGPUR,Jai Mangalmurti Society, Charde Layout, Near Wadi Khadan, NAGPUR , 440023 (Second Cycle)","Maharashtra","2.74","B+","2024-03-27"
"883","PRINCIPAL ARUNRAO KALODE MAHAVIDYALAYA,BEHIND ONKAR NAGAR, MANEWADA RING ROAD, NAGPUR,NAGPUR , 440027 (Second Cycle)","Maharashtra","2.96","B++","2024-03-27"
"884","RAMKRUSHNA MAHAVIDYALAYA,Darapur , At- Po- Darapur, Tal- Daryapur Dist- Amravati, Darapur , 444814 (Second Cycle)","Maharashtra","2.28","B","2024-03-27"
"885","SARVAJANIK ARTS AND COMMERCE COLLEGE,Visarwadi Tahsil Navapur District Nandurbar , 425426 , Village Visarwadi Tahsil Navapur District Nandurbar,Nandurbar , 425426 (Second Cycle) ","Maharashtra","2.6","B+","2024-03-27"
"886","SONAMAI SHIKSHAN PRASARAK MANDAL'S ARTS MAHILA COLLEGE,Mahalaxmi Nagar, Dongargaon Road, Shahada,Shahada , 425409 (Second Cycle)","Maharashtra","2.21","B","2024-03-27"
"887","DAPOLI EDUCATION SOCIETY'S DAPOLI URBAN BANK SENIOR SCIENCE COLLEGE,Dapoli , 415712 , Uday Nagar Road, Dapoli Dist- Ratnagiri, Dapoli , 415712 (Third Cycle)","Maharashtra","3","B++","2024-03-27"
"888","G S SCIENCE, ARTS AND COMMERCE COLLEGE, KHAMGAON,National Highway No. 6, Nandura Road, Khamgaon Dist- Buldana, KHAMGAON , 444303 (Third Cycle)","Maharashtra","3.08","A","2024-03-27"
"889","LATTHE EDUCATION SOCIETY'S SMT. GANGABAI KHIVARAJ GHODAWAT KANYA MAHAVIDYALAYA, JAYSINGPUR,Shirol-Wadi Road, Jaysingpur,Jaysingpur , 416101 (Third Cycle)","Maharashtra","2.5","B","2024-03-27"
"890","MAHARASHTRA MAHAVIDYALAYA, NILANGA,Main Road, Nilanga Dist. Latur 413521,Nilanga , 413521 (Third Cycle)","Maharashtra","2.62","B+","2024-03-27"
"891","NASHIK SHIKSHAN PRASARAK MANDAL'S ARTS AND COMMERCE MAHILA MAHAVIDYALAYA, Sane Guruji Nagar Jail Road Nashik Road , Nashik , 422101 (Third Cycle)","Maharashtra","2.73","B+","2024-03-27"
"892","NUTAN VIDYALAYA SHIKSHAN SANSTHA'S NUTAN MAHAVIDYALAYA,Jintoor road, selu, dist. Parbhani,Selu , 431503 (Third Cycle)","Maharashtra","2.65","B+","2024-03-27"
"893","RAOSAHEB GOGATE COLLEGE OF COMMERCE AND SMT. SARASWATIBAI GANSHET WALKE COLLEGE OF ARTS,At Panval, Banda Tal- Sawantwadi,BANDA , 416511 (Third Cycle) ","Maharashtra","2.73","B+","2024-03-27"
"894","SANT DNYANESHWAR SHIKSHAN SANSTHA'S HON. SHRI. ANNASAHEB DANGE ARTS, COMMERCE AND SCIENCE COLLEGE, HATKANANGALE DIST-KOLHAPUR (MS),Near Water Tank, Hatkanangale,Hatkanangale , 416109 (Third Cycle)","Maharashtra","2.53","B+","2024-03-27"
"895","S.B. KHADE MAHAVIDYALAYA, Koparde, Tal.Karveer Dist. Kolhapur 416205, Koparde , 416205 (Third Cycle)","Maharashtra","2.24","B","2024-03-27"
"896","SHARADCHANDRA PAWAR MAHAVIDYALAYA,Near MSEB Substation, Lonand, Tal. Khandala, Dist. Satara, LONAND , 415521 (Third Cycle)","Maharashtra","2.53","B+","2024-03-27"
"897","SHRI SHIVAJI SHIKSHAN PRASARAK MANDAL'S ARTS, SCIENCE AND COMMERCE COLLEGE,Rahuri, Tal. Rahuri, Dist. Ahmednagar, Rahuri , 413705 (Third Cycle)","Maharashtra","2.48","B","2024-03-27"
"898","SHRI S.H. KELKAR COLLEGE OF ARTS, COMMERCE AND SCIENCE, DEVGAD,Smt. Neerabai Jagannath Parkar Vidyanagari,,Devgad Dist Sindhudurg , 416613 (Third Cycle)","Maharashtra","2.43","B","2024-03-27"
"899","SHRI SWAMI VIVEKANAND SHIKSHAN SANSTHA, KOLHAPUR'S SHRI SANT GADGEBABA MAHAVIDYALAYA,Kolhapurs Shri Sant Gadgebaba Mahavidyalaya, Kapashi, Tal-Shahuwadi,Dist-Kolhapur(Third Cycle)","Maharashtra","2.02","B","2024-03-27"
"900","VISHWASRAO NAIK ARTS, COMMERCE AND BABA NAIK SCIENCE MAHAVIDYALAYA, SHIRALA, AT / POST-SHIRALA, TAL-SHIRALA,,SHIRALA , 415408 (Third Cycle)","Maharashtra","2.39","B","2024-03-27"
